CountryIndex,country,agricultural_land_percent,forest_land_percent,land_area,access_to_electricity_percent,renewable_energy_consumption_percent,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,individuals_using_internet_percent,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,per_capita_co2_consumption,per_capita_greenhouse_emission
1,China,56.1834730812931,21.3683288541342,9388211.0,99.7,12.26,2943.58995443689,8474922.7,10211636.79,142.487743405,34.3,11.9,7.11,75.599,1337705000.0,679206337.0,0.0063354197674375,0.0076336986032047
2,United States,44.4925126429091,33.7494069366007,9147420.0,100.0,7.44,13394.9027551068,5392109.4,6454244.95,33.8157800778799,71.69,13.0,7.995,78.5414634146342,309327143.0,59477423.0,0.0174317369879176,0.0208654335581536
3,India,60.3974182611942,23.3742209545976,2973190.0,76.3,36.16,637.125844225376,1659983.0,2569051.744,417.266848065546,7.5,21.438,7.385,66.909,1240613620.0,856891827.0,0.0013380338352242,0.0020707911815445
4,Russian Federation,13.1584362579663,49.7735892145447,16376870.0,99.2681579589844,3.34,6409.89436516487,1617827.5,2249521.458,8.72263552192818,49.0,12.5,14.2,68.8412195121951,142849468.0,37587981.0,0.0113254009458404,0.0157474962244871
5,Japan,13.5884773662551,68.4938271604938,364500.0,100.0,4.66,8594.90903412197,1157241.8,1234821.371,351.358024691358,78.21,8.5,9.5,82.8426829268293,128070000.0,11767072.0,0.0090360099945342,0.0096417691184508
6,Germany,47.9100324181656,32.7308718478354,348570.0,100.0,11.61,7264.32259073555,773069.1,881692.6436,234.606908225034,82.0,8.3,10.5,79.9878048780488,81776930.0,18836498.0,0.0094533886268413,0.0107816794247472
7,"Korea, Rep.",18.2407407407407,65.7098765432099,97200.0,100.0,1.32,9716.12608051578,575215.7,645046.5305,509.815967078189,83.7,9.4,5.1,80.1170731707317,49554112.0,8951455.0,0.0116078298406396,0.0130170132097211
8,"Iran, Islamic Rep.",28.5735160490189,6.56449077826076,1628760.0,99.4264602661133,0.9,2603.09095242641,541171.1,756069.3143,46.2768332964955,15.9,17.755,5.108,73.069,75373855.0,22140316.0,0.0071798251528995,0.0100309227158409
9,Canada,6.50040878514409,38.7394705758349,8965590.0,100.0,21.13,15269.745476893,537091.5,673672.8602,3.79282222363503,80.3,11.2,7.0,81.3221951219512,34004889.0,6482352.0,0.0157945376619226,0.0198110589392013
10,United Kingdom,71.1941470673335,12.6441532674741,241930.0,100.0,3.13,5700.85586444268,482646.2,594574.7842,259.440189310958,85.0,12.9,8.9,80.4024390243902,62766365.0,11736055.0,0.0076895674936727,0.0094728248831997
11,Mexico,52.3712029630392,34.4367447722421,1943950.0,99.236696,9.36,2046.82382987634,462869.5,650218.3115,57.8885264538697,31.05,20.152,5.594,74.19,112532401.0,24965313.0,0.0041132109142503,0.0057780541934762
12,Saudi Arabia,80.6655843400676,0.454484134921779,2149690.0,100.0,0.01,7435.0444678416,446131.5,564852.8807,13.6819397215412,41.0,21.894,2.498,75.763,29411929.0,5269441.0,0.0151683862693943,0.0192048906652807
13,South Africa,79.871237913098,14.3551508956467,1213090.0,82.8,9.65,4492.77503001308,425548.4,528517.785,42.68844108846,24.0,22.274,11.257,58.899,51784921.0,19565379.0,0.0082176122273122,0.0102060170179655
14,Indonesia,29.4963726066154,53.0802617709861,1877519.0,94.15,35.96,630.298386000833,415536.6,788131.7963,129.967352127994,10.92,20.158,7.406,68.679,244016173.0,122217940.0,0.0017029059791049,0.0032298342630756
15,Italy,48.45088902265,30.5292204059273,295718.0,100.0,12.79,5493.71103670054,405272.3,482672.1703,200.452515572268,53.68,9.5,9.9,82.0365853658537,59277417.0,18774936.0,0.0068368751627622,0.0081425978851271
16,Brazil,27.7375349060916,61.2074815688658,8358140.0,98.6,46.81,2366.38012019669,397931.1,999924.9994,23.4924866058716,40.65,15.492,6.199,73.182,196353492.0,30758775.0,0.0020266056689228,0.0050924737279436
17,Australia,48.9920987204353,16.862931674108,7682300.0,100.0,8.16,10726.9281831902,395993.2,589473.4613,2.86785858401781,76.0,13.7,6.5,81.6951219512195,22031750.0,3264665.0,0.017973751517696,0.0267556349949504
18,France,52.8279247639972,29.9859192741578,547557.0,100.0,11.99,7734.36187516411,347940.1,472918.3176,118.764941366835,77.28,12.9,8.5,81.6634146341463,65030575.0,14066764.0,0.0053504078658384,0.0072722456721319
19,Poland,47.1757868616952,30.4590570719603,306280.0,100.0,9.49,3797.09229558691,313739.1,377248.2243,124.209200731357,62.32,10.9,9.9,76.2463414634146,38042794.0,14877776.0,0.0082470046758395,0.0099164173982594
20,Turkiye,50.6892922573184,27.3937866247418,769630.0,100.0,14.21,2463.85975801914,297814.0,371145.2694,95.0354715902447,39.82,17.746,5.251,75.069,73142150.0,21339222.0,0.0040717151464647,0.0050743007882595
21,Spain,55.0888982220356,37.089938201236,500010.0,100.0,14.39,5706.56306279914,274140.6,350175.3957,93.1519309613808,65.8,10.4,8.2,81.6268292682927,46576897.0,10041047.0,0.0058857634934332,0.0075182207973193
22,Ukraine,71.2335151556998,16.4813919768004,579320.0,99.9698333740234,2.88,3549.84455123583,268924.6,329151.167,79.180316578057,23.3,10.8,15.2,70.2653658536586,45870741.0,14405248.0,0.005862660906219,0.007175623498212
23,Thailand,44.6749789582885,39.290258176907,510890.0,99.7,22.83,2271.44996720325,240768.3,361217.6687,133.630505588287,22.4,11.926,6.307,76.131,68270489.0,38329783.0,0.0035266819313393,0.0052909781955714
24,Kazakhstan,80.4392339889617,1.14167481572027,2699700.0,100.0,1.38,4728.01159082733,229702.2,307085.8759,6.04580953439271,31.6,22.53,8.95,68.45,16321872.0,7046642.0,0.0140732754184078,0.0188143783936058
25,"Egypt, Arab Rep.",3.68777939625295,0.0659400271234115,995450.0,99.3571548461914,5.37,1494.91567642949,200313.3,289376.1877,87.6512260786579,21.6,27.16,6.018,69.664,87252413.0,49717297.0,0.0022957909484978,0.0033165408009976
