CountryIndex,country
1,China
2,United States
3,India
4,Russian Federation
5,Japan
6,Germany
7,"Korea, Rep."
8,"Iran, Islamic Rep."
9,Canada
10,United Kingdom
11,Mexico
12,Saudi Arabia
13,South Africa
14,Indonesia
15,Italy
16,Brazil
17,Australia
18,France
19,Poland
20,Turkiye
21,Spain
22,Ukraine
23,Thailand
24,Kazakhstan
25,"Egypt, Arab Rep."
26,Malaysia
27,Netherlands
28,Argentina
29,"Venezuela, RB"
30,United Arab Emirates
31,Viet Nam
32,Pakistan
33,Uzbekistan
34,Algeria
35,Czechia
36,Iraq
37,Belgium
38,Nigeria
39,Greece
40,Philippines
41,Romania
42,Israel
43,Austria
44,Chile
45,Colombia
46,Finland
47,Belarus
48,Syrian Arab Republic
49,Qatar
50,Libya
