country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Afghanistan,3550.2212409732765,59.28902381061888,39786030.0,19620.0,203.88201218128518,-34.08216714859008,5.132269099354743,1227.9872559534917,865.33,0.0,149452.933,644772.60045,1701.9844886006465,91.869299044368,119.97349994949718,0.0,0.0,0.0,93.60648623233092,499.3840307369854,-36.67886966466905,6.148433670401573,1.182773382902146,173.0,27.5,349.8270833333335,123.73880143,13.810855,39.77638736280443,321416998135.7055,-59.5430998802185,7.056495368480686,-41.30961167812346,5.049918934702874,-35.84868633747101,5.590768069028854,59.120898008346565,10.79012312,101.1,0.0,2955.281,1130.545,2970.732,1159836580.0,914357899.0,-31.57139354944228,3.836402140557766,66.17048227979835
Africa Eastern and Southern,2681.5352980748316,1066.7889067895258,892793911.029,0.0,483.1322121930314,0.0,0.0,681.6957962739956,1963.2205952626205,31507.34126221127,14031857.353668999,34602945.354197,1452.4454755074012,508.8935601363726,0.0,0.0,3.097453565279231,0.0,213.3199731700901,288.7937228415103,0.0,0.0,0.0,0.0,13.2388888888889,0.0,205.82511712992385,17.38820341520467,158.99541001847794,23073733586796.11,0.0,0.0,0.0,0.0,0.0,0.0,91.78266739845274,53.44826449102096,0.0,0.0,2653.131408672839,923.5313298695562,3217.182098668039,22170967215.0,15816453337.0,0.0,0.0,35.9
Africa Western and Central,2181.2551098913045,676.643674513607,551803366.0,0.0,413.79900225385865,0.0,0.0,1196.834815843614,2519.1944430917256,5600.125771048846,4771325.1457,19960662.119507,1604.8286475207192,194.67917774967574,0.0,0.0,0.151699395451419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2928571428571,0.0,301.41761241495715,16.90403046432747,104.40435422691718,16899205755968.654,0.0,0.0,0.0,0.0,0.0,0.0,68.34859943389893,16.865110373880803,0.0,0.0,2742.420642806799,1090.5851906463447,2996.3652021802172,15104650208.0,9693822372.0,0.0,0.0,29.5
Albania,2570.6473357664236,912.3419708029196,1671400.0,89100.0,909.1829697409727,-16.13864168524742,3.975963786244391,3193.6217416381837,1247.32,51356.13089860182,120340.6,267040.431438,6078.049087591242,466.89165936475246,87.62192666316575,167.45780066943206,0.241689994931221,1002.1480249638723,295.75789963619803,435.6313531085734,-7.336953839287163,5.56449666619301,2.427520164012909,82.0,44.3,534.3862500000001,894.736158237,14.882498,118.42071406317233,291767739301.64557,-1.8584119100123644,6.524828314781189,-12.930667445063595,4.040614545345309,0.5010939612984658,5.105869933962821,91.71719336509705,55.07487036,190.4,372.1,1416.557,479.533,4433.056,170925034.0,99172461.0,0.8327537742443376,3.497996471822264,192.1183420063012
Algeria,1064.3950250136263,23.88456656760842,145286147.0,5340.0,225.19212104254657,-15.583309084177015,4.328856229782103,2179.358471500615,9.89,26382.673887530564,3278598.5,6000806.068,661.8503967111224,455.7549416395064,51.83555467441341,145.47694444444443,1.556839995086194,0.0,0.0,0.0,-13.731497675180432,5.099315866827965,2.120833275794983,157.0,19.3,375.6904166666666,523.046933241,17.199134,190.9089411794834,4526135867438.328,-29.254375636577628,6.163107141852378,-20.3458314538002,4.137256667017936,-23.14252832531928,5.464706644415852,87.77738380432127,73.830534,0.0,103.1,2078.436,665.09,3807.887,1632653219.0,679890286.0,-23.479828596115127,3.234598159790039,18.74294078005294
American Samoa,668.35,2811.5,12200.0,0.0,0.0,16.767294198274616,7.86391195654869,0.0,3.65,0.0,0.0,0.0,13016.63,0.0,0.0,0.0,1.2755900025367741,0.0,0.0,0.0,8.56261123716831,8.330005824565887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12939000000.0,18.996505320072192,6.91018143296242,22.063417851924896,8.32173204421997,5.049405395984649,8.299797385931011,14.7170495986938,0.0,0.0,0.0,87.1,18.9,0.0,2667684.0,473358.0,12.831396460533147,6.660993933677672,136.37529209665468
Andorra,2939.7395744680857,1089.3617021276607,28670.0,0.0,249.4216656705572,30.07019948959349,10.08278265595436,3200.0,536.37,0.0,15031.604399,17532.642782,6513.629787234041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73884880542754,9.808448389172552,0.0,0.0,0.0,0.0,1349.454259439,0.0,0.0,87950073731.81918,32.69044220447539,8.766511678695679,31.880628585815455,9.748829960823057,31.341658294200894,10.186342030763623,57.27656400203703,94.32954144,0.0,0.0,312.3,38.8,0.0,3150673.0,321752.0,31.46421205997466,5.934369727969172,6.60574732886955
Angola,2197.1364402021336,1898.6157802999921,76048700.0,60600.0,859.4191183704485,-29.594340682029728,4.330611288547516,786.147593383789,1941.8600000000001,4365.511511837494,572379.99,2063357.8460600001,717.4647413170773,11109.685396530307,-252.56734473328157,176.06142440829035,0.0322900004684925,0.0,355.97461419008823,461.4783453786158,-26.308846771717075,5.008184447884561,1.083596347332001,177.0,58.800000000000004,367.0204166666665,257.069007651,15.944163,226.30204029938918,1712764225249.6677,-18.464996695518497,6.184116438031194,-30.440799236297593,4.1622026115655935,-25.415211021900173,5.22823902964592,63.724683523178086,31.91375579,54.0,146.0,3000.031,1168.589,2893.89,935409475.0,473798816.0,-27.320443689823144,3.2514177337288848,17.74097468502999
Antigua and Barbuda,1252.27272727273,660.4734090909091,26840.0,61800.0,3327.818716399774,19.228714883327484,8.810690909624098,3140.681564204592,4.5,0.0,11545.7,24015.161921,9965.61590909091,47.93658363262165,300.22217796552553,175.26679529120543,0.0,0.0,0.0,0.0,7.419984027743341,9.705091193318365,1.17392086982727,113.0,2.9,141.87041666666659,976.525385237,2.9,0.0,38261260571.111115,20.81484657526017,8.10814818739891,17.278148293495178,8.219106525182724,13.191868677735329,9.139963179826735,38.79796314239502,60.7708087,0.0,0.0,1285.354,410.165,4537.536,4533976.0,3109599.0,13.330576121807098,5.829670667648314,232.46317531312036
Arab World,2170.9096253577222,106.89797648287285,825179927.0,0.0,732.1835900108584,0.0,0.0,2216.065558039931,181.28755608186077,52881.0985429631,38626535.249,60684106.070291996,1110.194632363396,279.180674499304,0.0,0.0,1.969618029658469,0.0,10.65043804184818,46.4663154652509,0.0,0.0,0.0,0.0,15.28,0.0,634.2722016524131,18.86283400651629,396.0591712547491,61140560597312.31,0.0,0.0,0.0,0.0,0.0,0.0,22.44632160663603,51.78141979564676,0.0,0.0,2224.1329354335617,639.2182643434463,3791.006555309791,15505664651.0,7466106866.0,0.0,0.0,12.7
