country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita
Afghanistan,58.216138777918765,1.85278199408184,652230.0,327.0,12.742625761330324,-1.457947468757629,0.19737617820501324,60.712291903433254,22.923,,6952.731315789473,25726.20504894737,31.26995228003887,6.1246199362912,9.997791662458098,,,,7.8005405193609105,41.61533589474878,-1.4173956364393236,0.252103690803051,0.39425779430071534,173.0,13.75,48.635486111111135,6.512319940105264,1.9851425,1.6573494734501846,7652785669.89775,-2.4854332566261297,0.2725808382034304,-1.7173773229122156,0.19546376243233685,-1.4171712458133696,0.2062593549489975,3.0205746324438802,0.5395061560000001,50.55,,46.09309523809524,18.097833333333334,48.52502380952381,20114897.76190476,15900292.88095238,-1.192027392983436,0.14663003422319895,6.015498389072577,298.16029998483697
Africa Eastern and Southern,43.959595050407074,33.33715333717268,14635965.754573772,,9.662644243860628,,,30.98617255790889,63.32969662137485,716.0759377775289,452640.55979577417,1116224.0436837743,23.810581565695102,10.385582859925972,,,0.6194907130558462,,17.776664430840842,24.06614357012586,,,,,13.2388888888889,,6.43203491031012,2.484029059314953,2.5237366669599672,366249739472.9541,,,,,,,4.370603209450131,2.545155451953379,,,42.79244207536837,14.895666610799294,51.8900338494845,351920114.52380955,251054814.87301588,,,11.966666666666667,809.4791170784595
Africa Western and Central,35.758280490021384,21.14511482855022,9045956.819672132,,8.995630483779536,,,41.270166063572894,81.26433687392664,127.2755857056556,153913.71437741935,643892.3264357097,26.308666352798674,4.635218517849422,,,0.151699395451419,,,,,,,,32.2928571428571,,9.41930038796741,2.414861494903924,1.7400725704486197,268241361205.85165,,,,,,,2.8478583097457886,0.8031004939943239,,,44.232591013012886,17.590083720102335,48.32847100290673,239756352.5079365,153870196.3809524,,,9.833333333333334,851.5208249148706
Albania,41.76693910872071,28.510686587591238,27400.0,1485.0,23.31238383951212,-0.6724434035519758,0.16566515776018295,99.80067942619324,40.23612903225806,1282.4722148767491,3881.9548387096775,8614.207465741936,110.39292643104109,15.061021269830725,2.43394240731016,6.202140765534521,0.1208449974656105,66.80986833092483,16.430994424233223,24.20174183936519,-0.30570640997029846,0.2318540277580421,0.6068800410032272,82.0,14.766666666666666,76.34089285714288,27.11321691627273,2.4804163333333333,2.4468589139060275,7481224084.657578,-0.07743382958384852,0.2718678464492162,-0.5387778102109831,0.16835893938938787,0.020878915054102744,0.21274458058178422,3.396933087596187,2.622612874285714,47.6,31.008333333333336,16.96386842105263,6.65621052631579,75.77055263157895,3018430.871794872,1621505.2564102565,0.0346980739268474,0.14574985299259433,6.403944733543373,2559.0896940948146
Algeria,17.449098770715185,0.7463927052377631,2381740.1147540985,89.0,6.824003667955957,-0.6493045451740423,0.18036900957425428,99.0617487045734,0.3190322580645161,599.6062247166037,105761.24193548386,193574.38929032258,10.850006503461023,8.599149842254837,1.851269809800479,5.819077777777777,0.25947333251436566,,,,-0.5721457364658513,0.2124714944511652,0.5302083189487458,157.0,19.3,53.67005952380951,16.34521666378125,2.457019142857143,3.1818156863247236,71843426467.27505,-1.2189323181907346,0.25679613091051573,-0.847742977241675,0.17238569445908067,-0.9642720135549699,0.22769611018399383,6.752106446486252,3.515739714285714,,34.36666666666667,33.523161290322584,10.72725806451613,61.41753225806452,25915130.46031746,10791909.301587302,-0.9783261915047969,0.13477492332458496,1.1714337987533088,2247.153539790621
American Samoa,13.075,86.925,200.0,,,0.8824891683302429,0.41389010297624684,,0.1825,,,,265.44625,,,,0.31889750063419353,,,,0.4506637493246479,0.4384213591876783,,,,,,,,616142857.1428572,0.9998160694774838,0.36369375962960104,1.1612325185223629,0.437985897064209,0.26575817873603413,0.4368314413647901,14.7170495986938,,,,17.419999999999998,4.725,,52669.42857142857,6531.142857142857,0.9165283186095106,0.47578528097697653,7.481151780708997,11918.008587843173
Andorra,46.95898527004911,34.0425531914894,470.0,,83.14055522351906,1.252924978733062,0.4201159439980983,100.0,16.7615625,,484.89046448387097,565.569122,120.14177577741405,,,,,,,,1.5724520335594807,0.4086853495488563,,,,,44.981808647966666,,,1659435353.4305506,1.3621017585198079,0.36527131994565326,1.3283595244089772,0.4062012483676274,1.3059024289250372,0.42443091794848425,2.72745542866843,4.491882925714286,,,10.76896551724138,3.527272727272727,,56907.339622641506,5316.490566037736,1.3110088358322776,0.24726540533204885,0.6005224844426864,24620.443672075362
Angola,35.94607859988464,59.331743134374754,1246700.0,1010.0,22.616292588696012,-1.2330975284179053,0.18044213702281317,35.73398151744495,62.64064516129033,101.5964422290096,18463.87064516129,66559.93051806452,14.772359333402088,358.3769482751712,-9.020262311902913,11.003839025518147,0.0322900004684925,,16.951172104289917,21.97515930374361,-1.0962019488215449,0.20867435199519005,0.36119878244400033,177.0,29.400000000000002,52.43148809523807,8.03340648909375,2.2777375714285713,5.955316849983926,39831726168.596924,-0.7693748623132707,0.25767151825129975,-1.268366634845733,0.17342510881523307,-1.0589671259125073,0.21784329290191332,3.0345087391989565,1.5197026566666667,54.0,48.666666666666664,47.16614285714286,16.09992857142857,49.92604761904762,18816055.88372093,8552786.53488372,-1.1383518204092977,0.1354757389053702,4.435243671257497,1709.4597607799465
Antigua and Barbuda,20.4545454545455,20.639794034090908,440.0,1030.0,72.34388513912552,0.8011964534719785,0.3671121212343374,98.1462988813935,0.140625,,372.44193548387096,774.6826426129032,171.52590909090912,1.9973576513592353,7.322492145500623,4.736940413275822,,,,,0.30916600115597254,0.40437879972159857,0.586960434913635,113.0,2.9,47.29013888888886,32.550846174566665,2.9,,831766534.1545894,0.8672852739691738,0.3378395078082879,0.7199228455622991,0.3424627718826135,0.5496611949056387,0.38083179915944726,2.984458703261155,2.8938480333333336,,,17.658555555555555,6.484955555555555,75.17857777777778,75869.04347826086,52993.86956521739,0.5554406717419624,0.2429029444853464,9.298527012524815,10250.520563454167
Arab World,36.18008155342608,3.3405617650897765,13516662.407407407,,16.27074644468574,,,85.2332906938435,5.847985680060025,1201.8431487037067,1246017.266096774,1957551.8087190967,19.570234201086876,5.697564785700082,,,0.6565393432194897,,5.32521902092409,23.23315773262545,,,,,15.28,,19.821006301637908,2.69469057235947,7.186712116799838,1111646556314.7693,,,,,,,4.489264321327206,2.465781895030798,,,34.187138985635116,8.947193094761722,63.21785847736501,267007758.8181818,125874069.2909091,,,4.233333333333333,3363.046840529682
